Datums,Laiks,Atkartotas reizes,Python versija
25-01-2024,20:36:30,10,3.10.11
Ievada šķirklis
cheese
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms),Izvads
1,1,20.2702,Sylvester Boston
2,1,19.899,Sylvester Boston
3,1,17.07,Sylvester Boston
4,1,16.8008,Sylvester Boston
5,1,19.1161,Sylvester Boston
6,1,20.3526,Sylvester Boston
7,1,16.7709,Sylvester Boston
8,1,17.8517,Sylvester Boston
9,1,19.6313,Sylvester Boston
10,1,20.115,Sylvester Boston

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
187.87760000000003,18.78776
