Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,22:12:26,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento sods MI ChatGPT,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,17.5708,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
2,18.6653,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
3,16.4315,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
4,16.6146,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
5,15.7074,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
6,18.299,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
7,16.3144,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
8,16.2549,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
9,16.0998,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa
10,16.0645,11,“WhatsApp” drīzumā ļaus nosūtīt ziņas citām saziņas lietotnēm,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
168.0222,16.80222
