Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,22:16:45,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento sods MI,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,0.7177,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
2,0.5545,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
3,0.5464,1,"Samsung Galaxy S24 Ultra apskats – kad dzelži sasniedz pīķi, jāķeras pie MI",Jurģis Spulenieks
4,0.5438,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
5,0.7009,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
6,0.5951,1,"Samsung Galaxy S24 Ultra apskats – kad dzelži sasniedz pīķi, jāķeras pie MI",Jurģis Spulenieks
7,0.5423,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
8,0.6582,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
9,0.5589,1,"Samsung Galaxy S24 Ultra apskats – kad dzelži sasniedz pīķi, jāķeras pie MI",Jurģis Spulenieks
10,0.5484,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
5.9662,0.59662
