Datums,Laiks,Atkartotas reizes,Python versija
28-01-2024,17:47:36,10,3.10.11
Ievada skirklis,Datubāzes veids
Anne,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,18.1522,id4,Anna Scot,my_source
2,18.451,id4,Anna Scot,my_source
3,17.198,id4,Anna Scot,my_source
4,18.8726,id4,Anna Scot,my_source
5,19.0547,id4,Anna Scot,my_source
6,16.2609,id4,Anna Scot,my_source
7,19.3579,id4,Anna Scot,my_source
8,17.1493,id4,Anna Scot,my_source
9,17.7022,id4,Anna Scot,my_source
10,15.6376,id4,Anna Scot,my_source

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
177.8364,17.78364
