Datums,Laiks,Atkartotas reizes,Python versija
28-01-2024,17:49:52,10,3.10.11
Ievada skirklis,Datubāzes veids
anna,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,0.4649,id4,Anna Scot,my_source
2,0.304,id4,Anna Scot,my_source
3,0.3631,id4,Anna Scot,my_source
4,0.3018,id4,Anna Scot,my_source
5,0.299,id4,Anna Scot,my_source
6,0.3034,id4,Anna Scot,my_source
7,0.2921,id4,Anna Scot,my_source
8,0.2907,id4,Anna Scot,my_source
9,0.2973,id4,Anna Scot,my_source
10,0.2919,id4,Anna Scot,my_source

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
3.2082,0.32082
