Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,18:33:27,15,3.10.11
Ievada skirklis,Datubāzes veids
Jonas,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,0.475,id74,Jonas Daniels,Athens
2,0.3244,id74,Jonas Daniels,Athens
3,0.3225,id74,Jonas Daniels,Athens
4,0.3217,id74,Jonas Daniels,Athens
5,0.4619,id74,Jonas Daniels,Athens
6,0.3755,id74,Jonas Daniels,Athens
7,0.3227,id74,Jonas Daniels,Athens
8,0.3177,id74,Jonas Daniels,Athens
9,0.3149,id74,Jonas Daniels,Athens
10,0.3173,id74,Jonas Daniels,Athens
11,0.3186,id74,Jonas Daniels,Athens
12,0.3485,id74,Jonas Daniels,Athens
13,0.3218,id74,Jonas Daniels,Athens
14,0.3146,id74,Jonas Daniels,Athens
15,0.3363,id74,Jonas Daniels,Athens

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
5.193399999999999,0.34623
