Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,21:58:08,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento Itālija eiro sods,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,19.7802,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
2,18.7409,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
3,19.3447,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
4,30.0383,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
5,31.0952,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
6,21.7598,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
7,18.3825,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
8,18.9553,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
9,18.8472,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
10,18.7194,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
215.6635,21.56635
