Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,22:16:30,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento sods,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,0.7017,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
2,0.5158,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
3,0.519,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
4,0.5009,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
5,0.5622,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
6,0.6085,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
7,0.4948,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
8,0.5298,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
9,0.5412,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
10,0.5379,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
5.511800000000001,0.55118
