Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,22:17:05,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento sods MI ChatGPT Itālija,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,0.91,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
2,0.7389,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
3,0.7749,1,"Samsung Galaxy S24 Ultra apskats – kad dzelži sasniedz pīķi, jāķeras pie MI",Jurģis Spulenieks
4,0.7488,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
5,0.7236,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
6,0.9087,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
7,0.8356,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
8,0.7477,1,"Samsung Galaxy S24 Ultra apskats – kad dzelži sasniedz pīķi, jāķeras pie MI",Jurģis Spulenieks
9,0.7437,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa
10,0.7306,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
7.8625,0.78625
